Deaths,Injured,Affected,Damage,Africa,America,Asia,Europe,Oceania,Natural
14,0.0,0.0,0.0,0,0,1,0,0,0
1,0.0,10597.0,0.0,0,0,1,0,0,1
22,0.0,0.0,0.0,0,0,1,0,0,1
3,0.0,1161.0,85000.0,0,0,0,1,0,1
0,0.0,250.0,0.0,0,1,0,0,0,1
15,0.0,350000.0,595000.0,0,1,0,0,0,1
15,2.0,2.0,0.0,0,0,1,0,0,0
19,0.0,0.0,0.0,0,0,1,0,0,1
0,0.0,0.0,0.0,0,0,0,1,0,1
41,53.0,169651.0,0.0,1,0,0,0,0,1
0,0.0,11500.0,0.0,0,1,0,0,0,1
20,0.0,0.0,0.0,0,0,1,0,0,0
20,0.0,0.0,0.0,0,1,0,0,0,1
0,0.0,100.0,0.0,1,0,0,0,0,0
43,10.0,10.0,0.0,0,0,1,0,0,0
13,0.0,0.0,0.0,0,1,0,0,0,1
20,12.0,12.0,0.0,1,0,0,0,0,0
20,0.0,41430.0,0.0,0,0,1,0,0,1
0,0.0,200.0,0.0,0,0,0,0,1,1
13,15.0,15.0,0.0,0,0,1,0,0,0
8,9.0,9.0,0.0,0,0,1,0,0,1
42,0.0,5200000.0,0.0,0,0,1,0,0,1
1000,0.0,20000.0,0.0,1,0,0,0,0,0
0,0.0,21000.0,4900.0,0,0,0,0,1,1
0,0.0,0.0,102000.0,0,0,0,1,0,1
14,0.0,0.0,0.0,1,0,0,0,0,0
14,0.0,0.0,0.0,0,0,1,0,0,1
22,27.0,27.0,0.0,0,0,1,0,0,0
50,53.0,53.0,0.0,0,0,1,0,0,0
5,0.0,14984.0,72000.0,0,0,0,0,1,1
0,0.0,483.0,325000.0,0,1,0,0,0,1
96,0.0,233.0,0.0,1,0,0,0,0,1
17,15.0,15.0,0.0,1,0,0,0,0,0
10,0.0,29.0,0.0,1,0,0,0,0,1
7,0.0,200.0,0.0,0,0,0,0,1,1
2,0.0,100000.0,4300000.0,0,0,0,0,1,1
12,0.0,0.0,0.0,0,1,0,0,0,1
0,0.0,1200.0,0.0,0,0,0,1,0,1
15,16.0,16.0,0.0,1,0,0,0,0,0
24,0.0,2000.0,0.0,1,0,0,0,0,1
10,0.0,0.0,0.0,1,0,0,0,0,0
4,0.0,0.0,0.0,0,0,0,1,0,1
3092,0.0,0.0,0.0,0,0,0,1,0,1
0,0.0,8640.0,14650.0,0,0,1,0,0,1
0,0.0,8000.0,0.0,0,1,0,0,0,1
4276,0.0,98349.0,0.0,1,0,0,0,0,1
23,30.0,4030.0,0.0,0,0,1,0,0,1
43,5.0,5.0,0.0,0,1,0,0,0,0
19,20.0,20.0,0.0,0,1,0,0,0,0
20,47.0,47.0,0.0,0,0,1,0,0,0
33,3.0,3.0,0.0,0,0,0,1,0,0
16,6.0,6.0,0.0,0,0,1,0,0,1
1,0.0,2759.0,0.0,1,0,0,0,0,0
13,16.0,16.0,0.0,0,0,1,0,0,0
38,0.0,0.0,0.0,1,0,0,0,0,1
10,469.0,5969.0,0.0,0,0,1,0,0,1
3,37.0,37.0,345000.0,0,1,0,0,0,1
0,0.0,137500.0,0.0,0,1,0,0,0,1
11,27.0,27.0,0.0,1,0,0,0,0,0
40,0.0,110.0,0.0,0,1,0,0,0,0
34,0.0,430000.0,0.0,0,0,1,0,0,1
0,0.0,0.0,0.0,1,0,0,0,0,1
16,0.0,0.0,0.0,0,0,1,0,0,1
0,0.0,8000.0,0.0,0,0,1,0,0,1
13,0.0,0.0,0.0,1,0,0,0,0,1
25,0.0,39.0,0.0,0,0,0,1,0,0
0,0.0,27000000.0,5000000.0,0,1,0,0,0,1
11,53.0,53.0,0.0,1,0,0,0,0,0
49,0.0,1.0,0.0,0,1,0,0,0,0
35,0.0,13000.0,0.0,0,1,0,0,0,1
45,1.0,1.0,0.0,1,0,0,0,0,0
0,4.0,4.0,0.0,0,0,0,1,0,1
2,0.0,100.0,0.0,0,0,1,0,0,1
72,14.0,14.0,0.0,0,0,1,0,0,0
26,31.0,31.0,0.0,0,0,1,0,0,0
0,0.0,75300.0,0.0,0,0,0,0,1,1
17,0.0,0.0,0.0,0,0,1,0,0,1
13,100.0,100.0,0.0,0,0,1,0,0,0
15,0.0,0.0,0.0,1,0,0,0,0,0
1,0.0,228.0,0.0,0,1,0,0,0,1
40,0.0,0.0,0.0,1,0,0,0,0,0
7,0.0,25000.0,0.0,0,0,1,0,0,1
26,100.0,100.0,0.0,1,0,0,0,0,0
41,0.0,353.0,0.0,1,0,0,0,0,1
123,0.0,35.0,0.0,0,0,1,0,0,0
167,0.0,0.0,0.0,0,0,0,1,0,1
16,0.0,0.0,250000.0,0,0,1,0,0,1
7,25.0,25.0,0.0,0,0,1,0,0,1
0,0.0,25576.0,792.0,0,0,1,0,0,1
0,0.0,5000.0,0.0,0,0,1,0,0,1
30,42.0,42.0,0.0,0,0,1,0,0,0
17,0.0,12.0,0.0,0,0,1,0,0,0
130,0.0,80000.0,4500000.0,0,0,1,0,0,1
20,38.0,7438.0,2000.0,0,0,1,0,0,1
22,21.0,21.0,0.0,1,0,0,0,0,0
129,0.0,77000000.0,21100000.0,0,0,1,0,0,1
10,90.0,100090.0,675000.0,0,0,1,0,0,1
42,15.0,15.0,0.0,0,0,1,0,0,1
58,0.0,0.0,0.0,1,0,0,0,0,0
150,260.0,260.0,0.0,0,0,1,0,0,0
20,0.0,0.0,0.0,0,1,0,0,0,1
18,50.0,50.0,0.0,0,0,1,0,0,0
2,1.0,651.0,0.0,1,0,0,0,0,1
6,0.0,2500.0,2100000.0,0,0,0,1,0,1
0,0.0,2765.0,0.0,0,1,0,0,0,1
45,0.0,2600000.0,40000.0,0,0,1,0,0,1
20,27.0,27.0,0.0,0,1,0,0,0,0
0,0.0,6400000.0,0.0,1,0,0,0,0,1
8,0.0,200.0,0.0,0,0,0,1,0,1
11,17.0,17.0,0.0,1,0,0,0,0,0
44,3.0,3.0,0.0,0,0,1,0,0,0
15,2.0,2.0,0.0,0,0,1,0,0,0
20,10.0,10.0,0.0,1,0,0,0,0,0
22,500.0,1500.0,0.0,0,0,1,0,0,1
13,0.0,200.0,150000.0,0,0,0,1,0,1
0,0.0,0.0,0.0,0,0,1,0,0,1
5,200.0,7700.0,0.0,0,1,0,0,0,1
189,0.0,0.0,0.0,0,0,1,0,0,0
89,0.0,1946.0,0.0,0,0,1,0,0,1
0,0.0,2000.0,0.0,1,0,0,0,0,1
2,0.0,200.0,110000.0,0,1,0,0,0,1
11,0.0,0.0,0.0,0,0,1,0,0,1
10,0.0,15.0,0.0,1,0,0,0,0,0
18,0.0,0.0,0.0,0,0,1,0,0,1
20,0.0,243.0,0.0,1,0,0,0,0,1
21,650.0,650.0,0.0,0,0,0,1,0,0
16,0.0,0.0,0.0,0,0,1,0,0,1
0,0.0,5800.0,0.0,0,0,0,1,0,1
8,25.0,125025.0,0.0,1,0,0,0,0,1
43,50.0,2300050.0,78000.0,0,0,1,0,0,1
2,120.0,27030.0,132260.0,0,0,0,1,0,1
22,16.0,16.0,0.0,0,1,0,0,0,0
31,79.0,79.0,0.0,1,0,0,0,0,0
1,0.0,2000.0,0.0,1,0,0,0,0,1
24,0.0,2000.0,0.0,1,0,0,0,0,1
14,0.0,15000.0,823000.0,0,1,0,0,0,1
1,0.0,0.0,0.0,0,0,0,0,1,1
13,7.0,8007.0,0.0,0,1,0,0,0,1
50,0.0,10000.0,256000.0,0,0,1,0,0,1
11,0.0,0.0,0.0,0,0,1,0,0,0
30,0.0,0.0,0.0,1,0,0,0,0,0
11,0.0,1500.0,500.0,0,0,1,0,0,1
11,0.0,26.0,0.0,1,0,0,0,0,0
3,200.0,200.0,0.0,0,0,0,1,0,1
10,50.0,50.0,0.0,0,0,1,0,0,0
23,0.0,0.0,0.0,0,0,1,0,0,1
13,0.0,0.0,0.0,0,0,1,0,0,0
24,25.0,25.0,0.0,0,0,1,0,0,1
0,2.0,392.0,0.0,0,0,1,0,0,1
0,12.0,100012.0,0.0,0,0,1,0,0,1
0,0.0,0.0,0.0,1,0,0,0,0,1
46,0.0,2924.0,0.0,1,0,0,0,0,1
4,0.0,114.0,0.0,1,0,0,0,0,1
10,11.0,11.0,0.0,1,0,0,0,0,0
0,0.0,9900.0,1822.0,0,0,1,0,0,1
29,0.0,76.0,0.0,1,0,0,0,0,0
23,0.0,0.0,0.0,0,1,0,0,0,0
433,0.0,16038.0,0.0,1,0,0,0,0,1
98,6.0,6.0,0.0,1,0,0,0,0,0
2,0.0,1000.0,0.0,0,0,1,0,0,1
20,0.0,0.0,0.0,0,0,1,0,0,0
17,0.0,239586.0,0.0,1,0,0,0,0,1
0,228.0,228.0,0.0,0,0,1,0,0,1
236,0.0,25000.0,688.0,0,0,1,0,0,1
26,10.0,10.0,0.0,0,0,1,0,0,0
0,1.0,301.0,0.0,0,1,0,0,0,1
36,13.0,13.0,0.0,0,1,0,0,0,0
157,6.0,6.0,0.0,1,0,0,0,0,0
12,0.0,600.0,0.0,1,0,0,0,0,1
28,0.0,20000.0,0.0,1,0,0,0,0,1
0,0.0,244504.0,0.0,0,0,1,0,0,1
0,0.0,0.0,0.0,1,0,0,0,0,1
41,0.0,0.0,0.0,0,0,1,0,0,0
28,0.0,2.0,0.0,1,0,0,0,0,0
63,0.0,800000.0,0.0,0,0,1,0,0,1
3,0.0,4500.0,23000.0,0,0,1,0,0,1
0,0.0,3000.0,0.0,0,0,1,0,0,1
16,8.0,8.0,0.0,1,0,0,0,0,0
18,4.0,24675.0,90000.0,0,1,0,0,0,1
16,100.0,100.0,0.0,1,0,0,0,0,0
10,0.0,0.0,0.0,0,0,1,0,0,0
0,190.0,190.0,0.0,0,0,1,0,0,0
13,39.0,39.0,0.0,0,1,0,0,0,0
0,0.0,0.0,0.0,0,0,1,0,0,1
6,25.0,25.0,1500000.0,0,1,0,0,0,1
43,20.0,20.0,0.0,0,1,0,0,0,0
18,0.0,2000.0,35000.0,0,0,1,0,0,1
23,23.0,23.0,0.0,0,0,1,0,0,0
32,8.0,8.0,0.0,1,0,0,0,0,0
1,16.0,16.0,0.0,0,0,1,0,0,1
2,0.0,2000.0,0.0,0,0,1,0,0,0
2,6.0,256.0,0.0,0,0,1,0,0,1
3,277.0,277.0,0.0,0,0,1,0,0,0
12,0.0,0.0,0.0,0,0,1,0,0,0
10,0.0,36450.0,13000.0,0,0,1,0,0,1
4140,0.0,2000000.0,1450000.0,0,0,1,0,0,1
25,33.0,33.0,0.0,0,1,0,0,0,0
19,70.0,70.0,0.0,0,0,1,0,0,0
0,0.0,1100.0,0.0,0,0,0,0,1,1
63,369.0,3297246.0,15722.0,0,0,1,0,0,1
0,0.0,0.0,0.0,0,0,1,0,0,1
0,4.0,754.0,0.0,0,0,0,1,0,1
27,29.0,29.0,0.0,0,1,0,0,0,0
11,0.0,0.0,0.0,0,1,0,0,0,0
13,0.0,0.0,0.0,1,0,0,0,0,0
3,0.0,120.0,0.0,0,1,0,0,0,1
15,39.0,39.0,0.0,0,0,1,0,0,0
17,47.0,47.0,0.0,0,0,1,0,0,0
21,24.0,24.0,0.0,1,0,0,0,0,0
113,660.0,660.0,0.0,1,0,0,0,0,1
37,60.0,60.0,0.0,0,0,1,0,0,0
0,0.0,11600.0,59000.0,0,0,0,1,0,1
3,0.0,16000.0,0.0,0,1,0,0,0,1
12,29.0,29.0,0.0,1,0,0,0,0,0
0,0.0,650000.0,38000.0,0,0,1,0,0,1
27,0.0,0.0,0.0,0,0,1,0,0,0
1,15.0,15015.0,0.0,1,0,0,0,0,1
19,12.0,12.0,0.0,1,0,0,0,0,0
71,0.0,0.0,0.0,0,0,0,1,0,0
10,0.0,0.0,0.0,0,0,1,0,0,0
1,0.0,0.0,0.0,0,0,1,0,0,1
0,11.0,2018.0,0.0,0,1,0,0,0,1
0,0.0,585.0,0.0,0,0,0,1,0,1
0,50.0,350.0,0.0,0,0,1,0,0,1
11,0.0,0.0,0.0,0,1,0,0,0,1
58,0.0,890.0,0.0,1,0,0,0,0,1
0,0.0,0.0,0.0,0,0,0,1,0,1
1,20.0,2336.0,30000.0,0,0,0,1,0,1
25,12.0,1113775.0,2655.0,0,0,1,0,0,1
0,0.0,1500.0,0.0,0,1,0,0,0,1
18,0.0,0.0,0.0,1,0,0,0,0,0
79,0.0,5000.0,11000.0,0,1,0,0,0,1
3,0.0,6000.0,0.0,0,1,0,0,0,1
12,450.0,25450.0,0.0,0,0,1,0,0,1
0,0.0,0.0,0.0,0,0,0,1,0,0
9,0.0,6776.0,0.0,1,0,0,0,0,1
89,0.0,550000.0,420000.0,0,0,1,0,0,1
10,96.0,21750.0,200000.0,0,0,1,0,0,1
16,22.0,22.0,0.0,0,1,0,0,0,0
19,25.0,25.0,0.0,0,0,1,0,0,0
21,0.0,7.0,0.0,0,0,1,0,0,0
6,0.0,20147.0,0.0,1,0,0,0,0,1
52,0.0,4179.0,13000.0,1,0,0,0,0,1
2,0.0,15000.0,0.0,1,0,0,0,0,1
0,0.0,10000.0,18000.0,0,0,0,1,0,1
0,0.0,0.0,100000.0,0,1,0,0,0,1
300,0.0,7532.0,0.0,1,0,0,0,0,1
7,3.0,4828.0,0.0,0,0,1,0,0,1
0,0.0,400.0,0.0,1,0,0,0,0,0
0,0.0,2500.0,1500.0,0,0,1,0,0,1
5,0.0,0.0,1200000.0,0,0,0,1,0,1
11,31.0,31.0,0.0,1,0,0,0,0,0
0,0.0,3500928.0,0.0,1,0,0,0,0,1
25,0.0,3000.0,0.0,1,0,0,0,0,1
10,25.0,25.0,0.0,0,0,0,1,0,0
0,0.0,0.0,0.0,0,1,0,0,0,1
63,0.0,129100.0,0.0,0,0,1,0,0,1
12,0.0,67500.0,264000.0,0,1,0,0,0,1
12,200.0,200.0,0.0,0,0,1,0,0,1
46,0.0,0.0,0.0,0,0,1,0,0,0
33,0.0,69798.0,0.0,0,1,0,0,0,1
0,0.0,0.0,3000000.0,0,1,0,0,0,1
17,10.0,10.0,0.0,0,1,0,0,0,0
40,4.0,4.0,0.0,1,0,0,0,0,0
3,5.0,18005.0,0.0,0,1,0,0,0,1
0,0.0,15000.0,1000.0,0,0,1,0,0,1
5,140.0,1340.0,2000000.0,0,0,1,0,0,1
12,0.0,0.0,0.0,1,0,0,0,0,0
24,0.0,900.0,0.0,0,0,1,0,0,1
95,0.0,650000.0,163000.0,0,0,1,0,0,1
0,0.0,150000.0,3700.0,0,1,0,0,0,1
32,21.0,21.0,0.0,0,0,1,0,0,0
14,36.0,36.0,0.0,0,0,1,0,0,0
0,0.0,251356.0,0.0,0,0,0,0,1,1
0,0.0,2000.0,0.0,1,0,0,0,0,1
0,0.0,0.0,0.0,0,0,0,1,0,1
7,0.0,21000.0,177000.0,0,0,1,0,0,1
6,0.0,104700.0,1400.0,0,0,1,0,0,1
3,60.0,160060.0,1000000.0,0,1,0,0,0,1
9,0.0,21000.0,71000.0,0,0,1,0,0,1
9,0.0,16000.0,0.0,0,1,0,0,0,1
