"Deaths","Injured","Affected","Damage","Natural","Tech","Africa","America","Asia","Europe","Oceania"
10,5,5,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
20,0,0,0,0,1,1,0,0,0,0
124,0,0,0,0,1,1,0,0,0,0
390,0,0,0,1,0,1,0,0,0,0
53,15,15,0,0,1,0,0,1,0,0
143,23,23,0,0,1,0,0,1,0,0
11,31,31,0,0,1,1,0,0,0,0
109,258,258,0,0,1,1,0,0,0,0
95,0,0,0,0,1,0,0,1,0,0
0,12,7012,0,1,0,0,0,1,0,0
45,270,52770,30000,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0
2,0,2000,0,1,0,0,1,0,0,0
131,0,0,0,0,1,0,0,1,0,0
0,0,2500,1500,1,0,0,0,1,0,0
20,19,19,0,0,1,0,0,1,0,0
25,11,11,0,0,1,0,0,1,0,0
10,20,20,0,0,1,1,0,0,0,0
0,0,8000,0,1,0,1,0,0,0,0
0,0,25400,1500000,1,0,0,1,0,0,0
19,0,3431,0,1,0,0,0,0,0,1
0,0,16773,0,1,0,1,0,0,0,0
26,30,30,0,0,1,0,0,1,0,0
44,11,11,0,0,1,0,0,0,1,0
16,2,2,0,0,1,1,0,0,0,0
51,80,80,0,0,1,1,0,0,0,0
25,1000,3000,256000,0,1,0,0,0,1,0
0,0,200,0,1,0,0,0,0,1,0
0,0,0,120000,1,0,0,0,0,0,1
38,20,20,0,0,1,0,0,1,0,0
19,25,25,0,0,1,0,0,1,0,0
51,0,0,0,1,0,1,0,0,0,0
11,0,0,0,0,1,0,0,0,1,0
4,40,30040,0,1,0,0,1,0,0,0
20,40,40,0,0,1,1,0,0,0,0
12,4,235889,1201,1,0,0,0,1,0,0
126,0,50000,79000,1,0,0,0,1,0,0
0,0,3500,0,1,0,1,0,0,0,0
11,11,11,0,1,0,1,0,0,0,0
38,16,16,0,0,1,0,0,1,0,0
19,0,0,0,0,1,0,1,0,0,0
0,107,107,0,0,1,0,1,0,0,0
13,210,210,0,0,1,1,0,0,0,0
96,0,12000,0,1,0,0,1,0,0,0
34,32,32,0,1,0,0,1,0,0,0
41,0,0,0,0,1,0,0,1,0,0
0,0,0,30300,1,0,0,0,0,1,0
26,0,0,5000,1,0,0,0,1,0,0
1,0,300,0,1,0,0,1,0,0,0
1,0,1000,0,1,0,0,0,1,0,0
60,0,40,0,1,0,1,0,0,0,0
0,100,12100,350000,1,0,0,0,1,0,0
0,0,5000,0,1,0,0,1,0,0,0
14,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1200,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0
26,19,19,0,0,1,0,0,1,0,0
2,0,1000,40000,1,0,0,0,1,0,0
13,0,0,0,0,1,1,0,0,0,0
36,0,71000,0,1,0,0,0,1,0,0
0,0,124,0,1,0,0,0,0,1,0
76,0,0,0,1,0,0,0,1,0,0
17,0,0,0,0,1,1,0,0,0,0
15,9,9,0,0,1,0,0,1,0,0
10,38,38,0,0,1,1,0,0,0,0
18,28,28,0,0,1,0,0,1,0,0
13,0,0,0,0,1,0,0,1,0,0
